loss,mae,mape,val_loss,val_mae,val_mape,learning_rate
2.719442129135132,1.2702618837356567,283.932861328125,1.157584309577942,0.9373835325241089,95.23053741455078,0.0010000000474974513
2.005568504333496,1.0555143356323242,269.0767822265625,1.1204437017440796,0.9154793620109558,91.15969848632812,0.0010000000474974513
1.5888549089431763,0.9968100786209106,203.85650634765625,1.0922365188598633,0.9037182331085205,90.24586486816406,0.0010000000474974513
1.323167085647583,0.8786970973014832,176.28956604003906,0.9958722591400146,0.8728376626968384,87.23490142822266,0.0010000000474974513
1.325195550918579,0.8879384994506836,163.16075134277344,0.9330241084098816,0.833960235118866,83.53450775146484,0.0010000000474974513
1.3262007236480713,0.8794900178909302,175.15228271484375,0.889678955078125,0.7972807884216309,78.8674087524414,0.0010000000474974513
1.0746934413909912,0.7733315229415894,147.68934631347656,0.8916109800338745,0.7842821478843689,77.63208770751953,0.0010000000474974513
1.0493042469024658,0.781926155090332,166.3190155029297,0.8265755772590637,0.7498050928115845,74.9840087890625,0.0010000000474974513
0.9499315023422241,0.7090285420417786,159.8188018798828,0.7926275730133057,0.7096399664878845,71.0904541015625,0.0010000000474974513
0.9263684153556824,0.727911114692688,149.30996704101562,0.7759034037590027,0.6794378161430359,69.02791595458984,0.0010000000474974513
0.9730003476142883,0.7145077586174011,157.0037078857422,0.7195882201194763,0.6497770547866821,65.31752014160156,0.0010000000474974513
0.990654706954956,0.7332119941711426,160.0063934326172,0.6908831000328064,0.6351003646850586,65.10774993896484,0.0010000000474974513
0.8940678238868713,0.7057033777236938,151.5811004638672,0.6045780181884766,0.5836493372917175,63.82417678833008,0.0010000000474974513
0.8563482761383057,0.6881678700447083,155.3605194091797,0.5821515321731567,0.5755745768547058,63.23771667480469,0.0010000000474974513
0.7449029684066772,0.6446543335914612,119.59654235839844,0.5709004402160645,0.5667113661766052,63.05198669433594,0.0010000000474974513
0.8889595866203308,0.7104011178016663,147.00633239746094,0.524296760559082,0.5464808344841003,65.88121032714844,0.0010000000474974513
0.8397020101547241,0.6874371767044067,152.2027130126953,0.5086362361907959,0.5078388452529907,66.18444061279297,0.0010000000474974513
0.8479010462760925,0.6942386031150818,165.8365936279297,0.5247630476951599,0.5263605117797852,68.51010131835938,0.0010000000474974513
0.7733630537986755,0.628660261631012,130.5415496826172,0.5320637226104736,0.5249804854393005,67.58785247802734,0.0010000000474974513
0.8033933639526367,0.6792380213737488,140.3728790283203,0.5301498174667358,0.5108786821365356,61.12911605834961,0.0010000000474974513
0.7628118395805359,0.6463207006454468,134.8331756591797,0.5217843651771545,0.49976301193237305,61.53076171875,0.0010000000474974513
0.7861008644104004,0.6766253709793091,144.89132690429688,0.5170134902000427,0.5015991926193237,57.20722198486328,0.0010000000474974513
0.779138445854187,0.6540040373802185,144.27415466308594,0.5286218523979187,0.49552980065345764,58.452659606933594,0.0010000000474974513
0.6912801861763,0.6072992086410522,128.05374145507812,0.5358733534812927,0.5154575705528259,59.36268615722656,0.0010000000474974513
0.7001985907554626,0.6265293955802917,147.05389404296875,0.5700002908706665,0.519813060760498,63.869075775146484,0.0010000000474974513
0.6366385817527771,0.5782896876335144,138.82960510253906,0.5464453101158142,0.5150200724601746,60.722267150878906,0.0010000000474974513
