loss,mae,val_loss,val_mae,learning_rate
1.4450101852416992,0.8362141847610474,1.4177197217941284,0.9772765040397644,0.0010000000474974513
1.1396048069000244,0.6992347836494446,1.3746365308761597,0.9709924459457397,0.0010000000474974513
0.9518060684204102,0.6460468173027039,1.3318177461624146,0.9418341517448425,0.0010000000474974513
0.9431305527687073,0.6294882893562317,1.3029944896697998,0.918350875377655,0.0010000000474974513
0.8877809643745422,0.5933347940444946,1.3147599697113037,0.9007993936538696,0.0010000000474974513
0.8187862634658813,0.5582972764968872,1.2187150716781616,0.8778454065322876,0.0010000000474974513
0.8117561936378479,0.5507216453552246,1.1893478631973267,0.8717513084411621,0.0010000000474974513
0.8001208305358887,0.5434728860855103,1.0784177780151367,0.8367626667022705,0.0010000000474974513
0.8013527989387512,0.5465644598007202,1.0179864168167114,0.7969410419464111,0.0010000000474974513
0.7461782693862915,0.5111628770828247,1.111640453338623,0.807293176651001,0.0010000000474974513
0.7107130885124207,0.5061036944389343,1.0548129081726074,0.7816188335418701,9.999999747378752e-05
0.6564835906028748,0.4715917110443115,0.9946215152740479,0.7480577826499939,9.999999747378752e-05
0.6498626470565796,0.4634985029697418,0.9378539323806763,0.7120293378829956,9.999999747378752e-05
0.6186772584915161,0.44619524478912354,0.8743828535079956,0.6750471591949463,9.999999747378752e-05
0.6210720539093018,0.43846186995506287,0.8465883135795593,0.6535255312919617,9.999999747378752e-05
0.6245853900909424,0.44934073090553284,0.8313188552856445,0.6347167491912842,9.999999747378752e-05
0.6470229029655457,0.4456974267959595,0.8372847437858582,0.6299151182174683,9.999999747378752e-05
0.6346467733383179,0.4518563747406006,0.8261285424232483,0.6198241710662842,9.999999747378752e-05
0.6331422328948975,0.4451746940612793,0.8147045373916626,0.6102913618087769,9.999999747378752e-05
0.6154477000236511,0.4416162371635437,0.8009508848190308,0.5877119898796082,9.999999747378752e-05
0.5838558673858643,0.417540043592453,0.795055627822876,0.5785769820213318,9.999999747378752e-06
0.5926786065101624,0.4123695492744446,0.7917003035545349,0.5705744028091431,9.999999747378752e-06
0.5998215675354004,0.42427384853363037,0.7902123332023621,0.56333327293396,9.999999747378752e-06
0.5876005291938782,0.42688390612602234,0.786191463470459,0.5561284422874451,9.999999747378752e-06
0.5596741437911987,0.4041058123111725,0.7831103205680847,0.550116777420044,9.999999747378752e-06
0.5607438087463379,0.3920755684375763,0.7814571857452393,0.545650064945221,9.999999747378752e-06
0.5812899470329285,0.4104836583137512,0.7802589535713196,0.5416985154151917,9.999999747378752e-06
0.6205209493637085,0.4323379099369049,0.7786229252815247,0.5378190279006958,9.999999747378752e-06
0.6019763946533203,0.4115757942199707,0.7798395156860352,0.5367367267608643,9.999999747378752e-06
0.6022700071334839,0.41698452830314636,0.7824578881263733,0.5365506410598755,9.999999747378752e-06
0.5812573432922363,0.4053536355495453,0.7840728759765625,0.5348460078239441,9.999999747378752e-06
0.5750616192817688,0.4020538032054901,0.7845057845115662,0.5325669050216675,9.999999747378752e-06
0.5778430104255676,0.40161779522895813,0.7823570966720581,0.5298752188682556,9.999999747378752e-06
0.5920687317848206,0.422978937625885,0.7813683152198792,0.528685450553894,9.999999747378752e-06
0.5710740685462952,0.40748438239097595,0.781423807144165,0.5272214412689209,9.999999747378752e-06
0.6021682620048523,0.4224220812320709,0.7773821353912354,0.5251249670982361,9.999999747378752e-06
0.568295419216156,0.3976633548736572,0.775025486946106,0.5243809819221497,9.999999747378752e-06
0.5844132304191589,0.40507572889328003,0.7766211628913879,0.5248109102249146,9.999999747378752e-06
0.5716334581375122,0.4065503776073456,0.7808319926261902,0.5275377631187439,9.999999747378752e-06
0.5862035155296326,0.41339144110679626,0.7814337611198425,0.5275113582611084,9.999999747378752e-06
0.5812650918960571,0.4000966548919678,0.7789197564125061,0.5262609720230103,9.999999747378752e-06
0.5527090430259705,0.3877228796482086,0.7750836610794067,0.5256220698356628,9.999999747378752e-06
0.5743749141693115,0.4002860486507416,0.7738227844238281,0.5255844593048096,9.999999747378752e-06
0.5693329572677612,0.4041803479194641,0.7720060348510742,0.5246719121932983,9.999999747378752e-06
0.5849207043647766,0.40902623534202576,0.7709093689918518,0.523765504360199,9.999999747378752e-06
